# CLDR symbol names for hy: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	բացականչության նշան	բացականչության կետ | բացականչության նշան | բացականչություն | հարված
∓	մինուս-կամ-պլյուս	մինուս-կամ-պլյուս | պլյուս-մինուս
∕	բաժանման թեք գիծ	բաժանման թեք գիծ | գիծ | թեք
∗	աստղանիշ գործարկու	աստղ | աստղանիշ գործարկու
∘	օժակ գործարկու	գործարկու | կազմություն | օժակ գործարկու
∙	կետանիշ գործարկու	գործարկու | կետանիշ գործարկու
√	քառակուսի արմատ	արմատ | հիմք | ռադիկալ | սուրդ | քառակուսի
∝	համամասնական	համամասնական | համամասնություն
∞	անվերջության նշան	անվերջության նշան | անվերջություն
∟	ուղիղ անկյուն	մաթեմատիկա | ուղիղ անկյուն
∠	անկյուն	անկյուն
∣	բաժանիչ	բաժանիչ
∥	զուգահեռ	զուգահեռ
∧	տրամաբանական եւ	եւ | և | տրամաբանական
∩	հատում	բազմություն | հատում
∪	միավորում	բազմություն | հավաքածու | միավորում
∫	ամբողջյալ	ամբողջյալ | հաշվարկ
∬	կրկնակի ամբողջյալ	կրկնակի ամբողջյալ | հաշվարկ
∮	ուրվագծային ամբողջյալ	ուրվագծային ամբողջյալ
∴	հետեւապես	հետեւապես | տրամաբանական
∵	քանի որ	տրամաբանական | քանի որ
∶	հարաբերություն	հարաբերություն
∷	համամասնություն	համամասնություն
∼	ալիք գործարկու	ալիք գործարկու | գործարկու
∽	շրջված ալիք	ալիք | շրջված ալիք
∾	շրջված ծույլ s	շրջված ծույլ s
≃	ասիմպտոտորեն հավասար	ասիմպտոտորեն | ասիմպտոտորեն հավասար | մաթեմատիկա
≅	մոտավորապես հավասար	հավասարություն | մաթեմատիկա | մոտավորապես հավասար | նույնաձեւություն | նույնանմանություն
≈	գրեթե հավասար է	գրեթե հավասար | գրեթե հավասար է | մոտավոր
≌	բոլորը հավասար են	բոլորը հավասար են | հավասարություն | մաթեմատիկա
≒	մոտավորապես հավասար պատկեր	մոտավորապես հավասար պատկեր
≖	օղակ հավասարի մեջ	հավասարություն | մաթեմատիկա | օղակ հավասարի մեջ
≠	հավասար չէ	անհավասար | անհավասարություն | հավասար չէ
≡	նույնական առ	եռակի | ճշգրիտ | նույնական | նույնական առ
≣	խստորեն համարժեք	խստորեն համարժեք | հավասարություն | մաթեմատիկա
≤	փոքր է կամ հավասար	անհավասարություն | հավասար | հավասարություն | փոքր է | փոքր է կամ հավասար
≥	մեծ է կամ հավասար	անհավասարություն | հավասար | հավասարություն | մեծ է | մեծ է կամ հավասար
≦	փոքր-քան՝ հավասարի վերեւում	անհավասարություն | մաթեմատիկա | փոքր-քան՝ հավասարի վերեւում
≧	մեծ-քան՝ հավասարի վերեւում	անհավասարություն | մաթեմատիկա | մեծ-քան՝ հավասարի վերեւում
≪	էապես փոքր-քան	անհավասարություն | էապես փոքր-քան | մաթեմատիկա
≫	էապես մեծ-քան	անհավասարություն | էապես մեծ-քան | մաթեմատիկա
≬	միջեւ	միջեւ
≮	ոչ պակաս քան	անհավասարություն | մաթեմատիկա | ոչ պակաս քան
≯	ոչ ավելի քան	անհավասարություն | մաթեմատիկա | ոչ ավելի քան
≳	մեծ-քան համարժեք	անհավասարություն | մաթեմատիկա | մեծ-քան համարժեք
≺	նախորդում է	բազմության գործարկու | մաթեմատիկա | նախորդում է
≻	հաջորդում է	բազմության գործարկու | հաջորդում է | մաթեմատիկա
⊁	չի հաջորդում	բազմության գործարկու | մաթեմատիկա | չի հաջորդում
⊂	()-ի ենթաբազմություն	()-ի ենթաբազմություն | բազմություն | ենթաբազմություն
⊃	վերբազմություն	բազմության գործարկու | մաթեմատիկա | վերբազմություն
⊆	ենթաբազմություն հավասար	ենթաբազմություն հավասար
⊇	վերբազմություն հավասար	հավասարություն | մաթեմատիկա | վերբազմություն հավասար
⊕	շրջանագծված պլյուս	շրջանագծված պլյուս | պլյուս
⊖	շրջանագծված մինուս	համաչափ տարբերություն | շրջանագծված մինուս | քայքայում
⊗	շրջանագծված անգամ	արտադրյալ | շրջանագծված անգամ | տենզոր
⊘	շրջանագծված բաժանման գիծ	բաժանում | մաթեմատիկա | շրջանագծված բաժանման գիծ
⊙	շրջանագծված կետ գործարկու	XNOR | գործարկու | շրջանագծված կետ գործարկու
⊚	շրջանագծված օղակ գործարկու	շրջանագծված օղակ գործարկու
⊛	շրջանագծված աստղանիշ գործարկու	աստղանիշ | գործարկու | շրջանագծված աստղանիշ գործարկու
⊞	քառակուսված պլյուս	գումարում | մաթեմատիկա | քառակուսված պլյուս
⊟	քառակուսված մինուս	հանում | մաթեմատիկա | քառակուսված մինուս
⊥	վեր մեխ	կեղծիք | մեխ | վեր մեխ
⊮	չի պարտադրում	չի պարտադրում
⊰	նախորդում է նկատմամբ	բազմության գործարկու | մաթեմատիկա | նախորդում է նկատմամբ
⊱	հաջորդում է նկատմամբ	բազմության գործարկու | հաջորդում է նկատմամբ | մաթեմատիկա
⊶	բնօրինակ	բնօրինակ
⊹	հերմիտյան լծորդված մայր	ինքնակցվող մայր | հերմիտյան լծորդված մայր | մաթեմատիկա | քառակուսի մայր
⊿	ուղղանկյուն եռանկյուն	մաթեմատիկա | ուղղանկյուն եռանկյուն
⋁	n-ական տրամաբանական կամ	n-ական տրամաբանական կամ | անջատում | տրամաբանություն
⋂	n-ական փոխհատում	n-ական փոխհատում | բազմությունների գործարկու | մաթեմատիկա | փոխհատում
⋃	n-ական միավորում	n-ական միավորում | բազմությունների գործարկու | մաթեմատիկա | միավորում
⋅	կետ գործարկու	գործարկու | կետ գործարկու
⋆	աստղ գործարկու	աստղ գործարկու | գործարկու
⋈	բնական կցում	binary operator | բնական կցում | թիթեռ
⋒	կրկնակի փոխհատում	բազմությունների գործարկու | կրկնակի փոխհատում | մաթեմատիկա | փոխհատում
⋘	շատ ավելի փոքր-քան	անհավասարություն | մաթեմատիկա | շատ ավելի փոքր-քան
⋙	շատ ավելի մեծ-քան	անհավասարություն | մաթեմատիկա | շատ ավելի մեծ-քան
⋭	չի պարունակում որպես սովորական ենթախումբ հավասարի	խմբերի տեսություն | մաթեմատիկա | չի պարունակում որպես սովորական ենթախումբ հավասարի
⋮	ուղղաձիգ բազմակետ	բազմակետ | մաթեմատիկա | ուղղաձիգ բազմակետ
⋯	միջնագծային հորիզոնական բազմակետ	բազմակետ | միջնագծային հորիզոնական բազմակետ
⋰	վեր աջ անկյունագծային բազմակետ	բազմակետ | մաթեմատիկա | վեր աջ անկյունագծային բազմակետ
⋱	վար աջ անկյանագծային բազմակետ	բազմակետ | մաթեմատիկա | վար աջ անկյանագծային բազմակետ
⌨	ստեղնաշար	համակարգիչ | ստեղնաշար
⏏	հանելու կոճակ	դուրս հանել | դուրս հանել կոճակ | հանելու կոճակ
⏭	հաջորդ կատարումը կոճակ	եռանկյուն | հաջորդ կատարումը | հաջորդ կատարումը կոճակ | հաջորդ տեսարանը | սլաք
⏮	վերջին կատարումը կոճակ	եռանկյուն | նախորդ կատարումը | նախորդ տեսարանը | սլաք | վերջին կատարումը կոճակ
⏯	նվագարկման կամ դադարի կոճակ	աջ | դադար | եռանկյուն | նվագարկել | նվագարկման կամ դադարի կոճակ | սլաք
⏱	վայրկյանաչափ	ժամացույց | վայրկյանաչափ
⏲	ժամաչափ	ժամաչափ | ժամացույց
⏸	դադարի կոճակ	դադար | դադար կոճակ | դադարի կոճակ | կրկնակի | ձողեր | ուղղահայաց
